"Order_ID";"Order_Date";"Customer_ID";"Material_ID";"Quantity";"Unit_Price_EUR";"Discount_Percent";"Net_Revenue_EUR"
"ORD00001";"2024-09-06";"CUST007";"MAT002";"34";"359,02";"10";"10986,01"
"ORD00002";"2023-06-04";"CUST005";"MAT024";"11";"522,76";"0";"5750,36"
"ORD00003";"2023-08-30";"CUST007";"MAT015";"74";"167,92";"5";"11804,78"
"ORD00004";"2024-01-04";"CUST009";"MAT013";"92";"193,64";"0";"17814,88"
"ORD00005";"2023-02-05";"CUST011";"MAT008";"31";"525,52";"0";"16291,12"
"ORD00006";"2024-02-05";"CUST004";"MAT010";"82";"161,7";"0";"13259,4"
"ORD00007";"2024-07-04";"CUST015";"MAT017";"96";"609,57";"0";"58518,72"
"ORD00008";"2024-05-17";"CUST010";"MAT016";"43";"141,83";"0";"6098,69"
"ORD00009";"2024-05-22";"CUST005";"MAT023";"17";"374,6";"0";"6368,2"
"ORD00010";"2023-04-01";"CUST015";"MAT025";"38";"233,62";"5";"8433,68"
"ORD00011";"2024-01-08";"CUST012";"MAT019";"21";"484,4";"0";"10172,4"
"ORD00012";"2023-10-29";"CUST011";"MAT008";"65";"496,53";"5";"30660,73"
"ORD00013";"2023-02-15";"CUST005";"MAT017";"95";"540,49";"0";"51346,55"
"ORD00014";"2024-07-11";"CUST012";"MAT022";"74";"242,87";"0";"17972,38"
"ORD00015";"2023-12-01";"CUST004";"MAT011";"91";"274,27";"0";"24958,57"
"ORD00016";"2024-06-02";"CUST009";"MAT001";"55";"568,02";"10";"28116,99"
"ORD00017";"2023-01-12";"CUST004";"MAT008";"17";"561,77";"0";"9550,09"
"ORD00018";"2024-07-11";"CUST014";"MAT024";"36";"481,98";"5";"16483,72"
"ORD00019";"2024-09-30";"CUST002";"MAT021";"8";"716,8";"0";"5734,4"
"ORD00020";"2023-06-12";"CUST012";"MAT022";"70";"232,18";"0";"16252,6"
"ORD00021";"2023-02-06";"CUST012";"MAT027";"94";"403,92";"5";"36070,06"
"ORD00022";"2023-12-21";"CUST013";"MAT030";"43";"547,01";"0";"23521,43"
"ORD00023";"2024-10-14";"CUST009";"MAT028";"8";"32,02";"0";"256,16"
"ORD00024";"2024-11-05";"CUST013";"MAT008";"59";"482,03";"5";"27017,78"
"ORD00025";"2024-03-13";"CUST003";"MAT004";"39";"135,76";"0";"5294,64"
"ORD00026";"2023-04-24";"CUST009";"MAT018";"51";"570,17";"0";"29078,67"
"ORD00027";"2023-12-07";"CUST001";"MAT021";"43";"672";"0";"28896"
"ORD00028";"2023-05-03";"CUST012";"MAT018";"96";"633,53";"0";"60818,88"
